Company name,Symbol,Currency,Market cap,P/E ratio,Return on assets (5 yr avg) (%),Return on assets (Recent yr) (%)
Ceat Limited (Parent),500878,₹,62.58B,27.55,7.72,7.33
Tata Elxsi Limited,500408,₹,62.37B,29.3,22.49,26.58
Cyient Ltd,532175,₹,61.59B,16.67,13.14,11.58
CMC Limited (Parent),517326,₹,61.51B,22.42,16.32,15.06
Welspun India Limited,514162,₹,60.79B,13.56,7.34,5.22
Grindwell Norton Ltd,506076,₹,56.08B,40.93,10.98,10.49
Eclerx Services Ltd,532927,₹,55.46B,18.69,29.58,26.34
Moil Ltd,533286,₹,54.49B,39.59,10.94,9.03
IFB Industries Ltd,505726,₹,54.07B,86.22,5.42,5.99
NIIT Technologies Ltd.,532541,₹,53.98B,18.44,11.93,11.4
Great Eastern Shipping Company Ltd,500620,₹,53.43B,30.46,5.23,5.17
Timken India Limited,522113,₹,53.18B,56.58,12.3,12.34
Kirloskar Oil Engines Ltd,533293,₹,51.77B,31.3,9.08,8.4
Gujarat Alkalies & Chemicals Limited,530001,₹,51.60B,23.23,7.23,7.38
Jagran Prakashan Ltd,532705,₹,51.13B,15.81,12.85,11.77
F D C Ltd (Parent),531599,₹,50.74B,98.85,14.15,13.85
KPR Mill Ltd,532889,₹,50.73B,17.68,8.4,12.02
Zydus Wellness Ltd,531335,₹,49.44B,38.68,22.56,17.74
Polaris Consulting & Services Ltd,532254,₹,48.46B,25.38,9.89,11.78
VST Industries Limited,509966,₹,46.57B,27.28,18.79,18.72
Apl Apollo Tubes Ltd,533758,₹,46.17B,30.42,6.83,8.31
V I P Industries Ltd,507880,₹,46.03B,41.47,11.64,14.15
ELGI Equipments Ltd,522074,₹,45.61B,51.16,5.13,6.48
Rallis India Limited,500355,₹,44.29B,24.88,12.71,18.44
Monsanto India Limited,524084,₹,44.06B,31.26,18.57,24.09
Lux Industries Ltd,539542,₹,43.83B,66.48,8.51,9.8
Manpasand Beverages Ltd,539207,₹,42.87B,48.64,9.62,7.67
Tata Investment Corporation Limited,501301,₹,42.57B,24.36,8.01,8.18
Godfrey Phillips India Limited,500163,₹,42.08B,33.7,8.29,6.27
Ratnamani Metals and Tubes Limited,520111,₹,41.93B,24.12,12.62,10.54
KPIT Technologies Ltd,532400,₹,41.48B,18.17,11.76,10.13
Cera Sanitaryware Ltd,532443,₹,41.01B,58.93,11.87,10.91
"Techno Electric & Engineering. Co., Ltd.",533281,₹,40.86B,19.75,7.31,10.3
Suprajit Engineering Ltd.,532509,₹,40.64B,30.13,11.78,11.99
Shankara Building Products Ltd,540425,₹,40.00B,54.36,5.22,6.9
S H Kelkar And Company Ltd,539450,₹,39.95B,39.75,8.56,10.05
Gujarat Mineral Development Corporation,532181,₹,39.86B,8.2,9.9,6.6
NESCO Ltd.,505355,₹,39.85B,35.22,18.1,18.14
Greenply Industries Ltd.,526797,₹,39.82B,124.53,8.6,9.03
Vinati Organics Ltd,524200,₹,39.67B,30.41,18.07,18.47
Essel Propack Ltd,500135,₹,39.48B,23.11,6.63,9.15
Allcargo Logistics Ltd,532749,₹,39.42B,18.22,6.83,7.52
Rane Holdings Ltd,505800,₹,38.63B,26.8,5.56,9.09
CCL Products (India) Limited,519600,₹,38.42B,27.37,12.62,16.29
Kushal Ltd,536170,₹,38.34B,29.16,11.37,13.02
Multi Commodity Exchange of India Ltd.,534091,₹,37.93B,39.49,8.98,6.79
Triveni Turbine Ltd,533655,₹,37.85B,43.05,20.34,20.26
ICRA Ltd,532835,₹,37.57B,37.74,13.39,14.06
Teamlease Services Ltd,539658,₹,37.44B,43.69,7.26,9.71
Time Technoplast Limited,532856,₹,37.09B,21.95,5.23,6.07
VRL Logistics Ltd,539118,₹,36.50B,41.15,7.76,7.67
Shilpa Medicare Ltd,530549,₹,36.26B,30.68,10.47,9.22
La Opala RG Limited,526947,₹,35.69B,48.97,20.79,18.13
Sharda Cropchem Ltd,538666,₹,35.34B,19.91,13.09,12.77
Zensar Technologies Limited,504067,₹,35.06B,16.84,15.34,12
V-Mart Retail Ltd,534976,₹,34.70B,51.82,9.52,8.96
Sonata Software Limited (Parent),532221,₹,33.68B,18.9,12.33,14.06
Firstsource Solutions Ltd,532809,₹,33.26B,11.16,6.63,8.66
Himatsingka Seide Limited,514043,₹,32.55B,16.68,5.19,7.16
Heritage Foods Ltd,519552,₹,32.49B,12.83,17.47,37.69
Himachal Futuristic Communications (P),500183,₹,32.41B,26.47,12.91,5.6
